Duration,KeySignature,KeySignatureConfidence,loudness,Tempo,TimeSignature,TimeSignatureConfidence
84.04,7.00,0.47,-26.27,115.64,4.00,0.44
273.53,1.00,0.65,-6.31,125.01,4.00,1.00
298.84,5.00,0.60,-10.00,113.28,4.00,0.87
161.38,5.00,0.67,-9.16,96.98,4.00,0.90
209.29,8.00,0.46,-4.87,141.00,1.00,0.41
229.62,11.00,0.21,-4.88,105.21,4.00,1.00
426.89,0.00,0.05,-12.95,63.02,4.00,0.38
269.27,9.00,0.05,-11.75,144.60,4.00,0.00
249.42,2.00,0.88,-6.69,167.92,4.00,0.75
136.49,9.00,0.39,-9.09,129.12,1.00,0.00
233.27,0.00,0.53,-2.66,132.02,4.00,0.78
187.25,1.00,0.84,-4.42,183.92,1.00,0.06
72.62,9.00,0.00,-11.05,89.87,4.00,0.48
272.64,2.00,0.63,-9.97,119.90,5.00,0.92
142.76,1.00,0.62,-11.34,137.29,4.00,0.00
194.12,5.00,1.00,-15.58,82.34,1.00,0.39
195.92,3.00,0.88,-11.98,91.49,4.00,0.00
118.33,9.00,0.00,-11.22,84.69,5.00,0.68
288.42,2.00,0.08,-8.17,115.61,4.00,0.00
123.22,7.00,0.28,-12.69,126.52,1.00,0.00
283.77,2.00,0.82,-8.70,113.68,4.00,1.00
239.31,2.00,0.57,-5.76,86.94,4.00,0.22
206.76,0.00,0.61,-4.91,141.94,4.00,0.63
134.82,11.00,0.85,-8.13,106.05,1.00,0.00
285.65,8.00,0.51,-9.09,126.88,4.00,0.00
124.19,1.00,0.07,-10.30,85.01,5.00,1.00
134.09,4.00,0.72,-12.84,133.70,1.00,0.00
155.61,11.00,0.60,-13.71,118.98,1.00,0.00
275.41,9.00,0.38,-2.12,102.41,4.00,0.40
223.48,0.00,0.00,-14.44,112.01,4.00,0.84
443.25,1.00,0.00,-13.00,45.53,4.00,0.00
177.82,4.00,0.70,-12.00,85.62,4.00,0.61
385.33,8.00,0.82,-8.37,108.06,4.00,1.00
324.44,7.00,0.56,-11.83,216.20,5.00,1.00
275.12,7.00,0.70,-6.29,132.43,4.00,0.28
294.66,5.00,0.24,-15.76,168.31,4.00,0.00
193.20,0.00,0.37,-27.43,140.96,7.00,0.87
357.82,1.00,0.49,-5.70,130.02,5.00,1.00
198.35,11.00,0.31,-8.71,175.77,4.00,0.70
261.96,7.00,0.96,-13.63,100.19,3.00,1.00
176.27,2.00,0.17,-11.48,151.91,4.00,0.23
220.89,9.00,0.61,-6.30,119.69,4.00,0.49
235.91,10.00,0.46,-10.47,161.98,4.00,0.70
239.59,0.00,0.60,-9.28,172.40,1.00,0.00
171.49,2.00,0.45,-37.40,109.82,3.00,0.66
266.06,1.00,0.94,-13.84,90.10,1.00,0.00
329.27,8.00,0.50,-7.10,116.47,4.00,1.00
198.92,9.00,0.00,-13.50,126.82,4.00,0.00
283.22,2.00,0.50,-15.14,111.19,3.00,0.85
238.68,5.00,0.46,-12.99,125.51,4.00,0.46
254.07,4.00,0.45,-6.01,137.89,1.00,0.00
184.32,6.00,0.00,-5.58,150.01,4.00,0.00
311.41,10.00,0.69,-4.31,108.37,4.00,0.36
162.53,2.00,0.24,-17.29,173.48,4.00,0.80
212.38,4.00,0.37,-5.93,110.75,4.00,1.00
338.34,2.00,0.63,-14.25,130.03,4.00,0.51
126.51,11.00,0.23,-12.65,110.17,4.00,0.92
205.58,9.00,0.83,-16.06,97.98,3.00,1.00
193.46,0.00,0.37,-5.91,119.98,4.00,1.00
127.48,6.00,0.81,-5.54,156.97,1.00,0.00
234.76,5.00,0.17,-6.02,188.89,4.00,1.00
292.83,9.00,0.30,-4.95,133.31,4.00,0.34
241.11,4.00,0.97,-18.11,152.27,3.00,1.00
270.68,1.00,0.33,-11.06,166.28,4.00,0.85
188.73,2.00,0.86,-7.04,114.97,4.00,0.00
211.80,9.00,0.52,-15.36,144.65,4.00,0.14
254.33,2.00,0.64,-11.21,152.01,1.00,0.61
210.36,1.00,0.65,-5.90,155.07,1.00,0.00
301.82,10.00,0.68,-8.10,61.97,1.00,0.40
416.81,6.00,0.64,-7.98,124.04,5.00,0.82
413.36,7.00,0.06,-8.80,191.20,4.00,0.00
117.00,7.00,0.46,-5.70,152.13,4.00,0.65
217.36,10.00,0.81,-5.15,100.02,4.00,0.94
122.72,10.00,0.00,-9.97,192.69,4.00,0.67
203.99,11.00,0.24,-11.98,154.32,4.00,0.00
192.44,5.00,0.08,-10.23,236.01,4.00,0.76
285.36,11.00,0.32,-6.28,150.67,5.00,1.00
225.12,11.00,0.00,-3.82,175.42,1.00,0.00
123.66,9.00,0.14,-4.63,104.15,4.00,0.07
525.17,11.00,0.39,-5.60,127.28,4.00,0.22
204.07,6.00,0.61,-5.16,160.17,4.00,1.00
166.01,5.00,0.44,-1.93,86.09,3.00,1.00
219.01,0.00,0.78,-5.21,149.94,4.00,0.13
127.95,0.00,0.66,-12.72,135.78,4.00,0.09
570.91,7.00,0.79,-12.28,122.97,4.00,1.00
230.01,9.00,0.86,-9.75,142.02,4.00,0.97
240.74,2.00,0.74,-4.88,135.54,7.00,0.58
192.21,2.00,0.52,-23.99,139.19,3.00,0.42
152.03,8.00,0.66,-9.41,128.60,5.00,0.20
215.30,3.00,0.45,-9.74,163.45,4.00,0.02
155.22,7.00,0.00,-11.97,114.03,3.00,1.00
207.12,7.00,0.66,-12.78,111.32,1.00,0.00
428.56,4.00,0.74,-8.40,105.99,3.00,1.00
185.78,8.00,0.02,-13.25,88.49,1.00,0.25
654.29,7.00,0.54,-5.88,118.43,4.00,0.80
306.73,11.00,0.00,-6.93,96.01,4.00,0.91
229.51,9.00,0.46,-4.20,187.81,4.00,0.38
205.58,7.00,0.03,-7.00,181.12,4.00,0.70
127.06,2.00,0.83,-12.77,148.36,4.00,0.10
44.36,1.00,0.00,-18.15,136.16,4.00,0.68
203.83,4.00,0.65,-7.66,126.94,4.00,1.00
176.51,5.00,0.53,-17.31,159.58,3.00,1.00
140.67,6.00,0.01,-28.35,89.50,4.00,0.61
201.09,5.00,0.61,-2.87,102.26,3.00,1.00
254.80,10.00,0.65,-7.31,107.53,3.00,1.00
143.07,0.00,0.68,-15.35,99.41,4.00,1.00
163.50,9.00,0.75,-25.69,79.73,4.00,0.90
289.65,0.00,0.40,-9.44,188.50,1.00,0.00
124.16,11.00,0.72,-4.79,133.73,1.00,0.05
167.39,4.00,0.69,-17.62,139.14,4.00,0.63
321.36,2.00,0.34,-6.20,193.69,4.00,0.62
263.94,0.00,0.69,-19.82,76.69,4.00,0.52
341.37,10.00,0.43,-9.63,126.95,4.00,0.58
333.14,6.00,0.60,-5.67,144.81,1.00,0.09
349.13,11.00,0.70,-11.71,138.00,4.00,0.00
168.57,7.00,0.58,-16.97,130.28,4.00,0.71
350.72,10.00,0.88,-13.04,152.01,4.00,1.00
175.62,4.00,0.85,-10.65,159.97,4.00,0.42
190.25,4.00,0.44,-4.17,75.03,4.00,1.00
255.16,7.00,0.47,-10.76,150.84,4.00,0.47
120.27,10.00,0.63,-3.42,143.23,1.00,0.00
557.27,11.00,0.26,-12.26,123.99,4.00,0.30
187.53,11.00,0.68,-23.53,97.98,1.00,0.00
295.60,2.00,0.78,-9.44,137.29,4.00,0.47
252.03,3.00,0.37,-8.64,168.32,4.00,0.48
329.35,2.00,0.14,-7.67,111.08,4.00,0.60
180.01,0.00,0.10,-13.67,133.01,4.00,0.68
244.45,6.00,0.52,-6.89,146.58,5.00,1.00
282.54,6.00,0.34,-4.20,140.46,3.00,0.60
388.28,0.00,0.55,-16.43,132.51,4.00,0.20
345.94,2.00,0.04,-6.95,153.86,4.00,0.40
243.15,9.00,0.85,-14.74,93.24,4.00,0.52
261.75,0.00,0.43,-9.63,124.09,4.00,0.37
172.25,2.00,0.56,-8.46,66.77,1.00,0.81
216.61,9.00,0.56,-3.74,145.52,4.00,0.68
363.60,1.00,0.64,-4.38,140.00,4.00,0.55
271.78,0.00,0.67,-6.95,90.65,3.00,1.00
330.66,2.00,0.71,-12.28,140.33,4.00,0.10
133.28,5.00,0.78,-15.74,89.86,1.00,0.37
264.70,9.00,0.59,-5.87,156.10,4.00,1.00
228.52,5.00,0.58,-12.05,179.50,1.00,0.00
240.35,1.00,0.61,-6.25,86.69,3.00,0.86
145.58,0.00,0.76,-13.70,160.26,5.00,0.18
235.81,10.00,0.39,-9.72,101.03,4.00,0.58
192.18,6.00,0.21,-6.26,155.04,4.00,0.41
418.87,1.00,0.83,-11.70,117.17,3.00,1.00
198.27,2.00,0.41,-14.51,132.97,1.00,0.41
420.10,11.00,1.00,-9.06,139.91,4.00,1.00
397.27,9.00,0.54,-6.79,95.88,4.00,0.00
229.80,4.00,0.69,-12.77,135.18,3.00,0.64
150.65,7.00,0.80,-9.26,121.98,3.00,0.85
286.14,9.00,0.21,-24.60,169.78,3.00,0.10
384.70,11.00,0.58,-8.16,137.86,4.00,0.00
415.03,1.00,0.46,-6.75,83.33,3.00,1.00
133.54,4.00,0.00,-29.30,117.67,3.00,0.26
266.71,9.00,0.73,-12.66,90.91,3.00,1.00
284.34,4.00,0.49,-6.55,151.95,4.00,0.20
179.07,0.00,0.44,-17.52,161.05,4.00,0.67
100.60,8.00,0.25,-10.78,159.90,5.00,0.30
320.60,9.00,0.80,-9.99,128.22,4.00,0.86
302.37,6.00,1.00,-12.99,101.23,4.00,0.63
284.71,0.00,0.11,-8.34,98.86,4.00,0.33
327.86,0.00,0.51,-6.53,125.98,4.00,0.79
286.30,1.00,0.53,-6.93,154.09,4.00,0.63
356.49,9.00,0.76,-4.18,124.24,4.00,0.00
168.75,9.00,0.45,-8.91,97.10,4.00,1.00
201.56,9.00,0.54,-2.07,140.63,1.00,0.00
185.68,0.00,0.04,-16.84,101.41,1.00,0.00
218.83,4.00,0.36,-3.80,186.25,4.00,0.53
303.05,1.00,0.75,-10.57,210.47,4.00,0.42
224.52,7.00,0.44,-6.69,94.06,4.00,1.00
315.27,4.00,0.52,-16.75,100.35,1.00,0.00
275.07,7.00,0.73,-4.38,124.01,4.00,0.94
191.82,9.00,0.14,-38.53,90.08,1.00,0.34
177.24,2.00,0.80,-1.84,106.70,1.00,0.79
233.59,2.00,0.60,-3.94,89.78,4.00,0.00
38.35,9.00,0.05,-16.01,107.18,7.00,0.55
100.86,10.00,0.05,-19.79,152.26,4.00,0.49
485.20,3.00,0.88,-7.61,134.08,4.00,0.66
239.02,5.00,0.61,-10.27,106.40,3.00,1.00
288.50,10.00,0.44,-5.91,160.02,3.00,0.72
151.54,7.00,0.50,-7.11,101.49,4.00,1.00
160.29,0.00,0.84,-15.58,86.14,4.00,0.77
181.55,1.00,0.31,-9.33,120.10,4.00,0.19
70.27,7.00,0.42,-16.94,128.17,4.00,0.19
173.24,8.00,0.36,-6.02,88.84,4.00,0.85
155.74,2.00,0.43,-13.14,105.24,4.00,0.00
148.04,7.00,0.88,-6.89,162.39,1.00,0.00
94.07,2.00,0.17,-9.51,109.64,5.00,0.94
241.53,10.00,0.53,-7.26,108.26,4.00,0.90
226.82,9.00,0.51,-7.68,119.52,4.00,0.94
106.53,9.00,0.00,-12.39,97.76,4.00,0.83
224.29,10.00,0.69,-4.78,241.88,4.00,0.95
340.30,7.00,0.40,-11.36,91.33,4.00,0.88
216.55,8.00,0.90,-8.15,130.06,4.00,0.28
279.22,11.00,0.91,-6.58,68.73,4.00,0.00
158.56,2.00,0.95,-16.53,94.66,3.00,0.65
234.45,10.00,0.17,-10.17,102.06,1.00,0.00
155.95,2.00,0.75,-14.12,109.07,1.00,0.04
233.53,6.00,0.74,-5.48,184.98,4.00,0.32
256.81,7.00,0.64,-7.31,201.80,3.00,0.90
234.66,1.00,0.57,-12.75,119.67,4.00,0.69
163.76,0.00,0.38,-10.33,105.18,1.00,0.00
159.03,9.00,0.70,-9.67,165.67,3.00,0.93
214.05,1.00,0.70,-5.44,188.06,3.00,1.00
301.06,3.00,0.57,-4.14,143.97,4.00,0.46
109.37,6.00,0.16,-18.35,61.88,1.00,0.56
151.82,7.00,0.57,-20.96,0.00,1.00,0.00
287.11,9.00,0.58,-11.88,163.17,4.00,0.00
239.99,9.00,0.03,-5.63,144.84,3.00,0.44
229.64,2.00,0.55,-2.00,108.50,4.00,0.79
143.99,11.00,0.67,-7.90,193.98,4.00,0.00
153.21,0.00,0.00,-8.80,88.94,4.00,0.78
316.66,4.00,0.61,-5.93,91.69,4.00,0.83
182.10,1.00,0.08,-10.70,210.80,7.00,0.41
205.22,4.00,0.67,-4.33,82.21,4.00,0.95
131.06,4.00,0.64,-15.67,121.56,1.00,0.00
316.73,3.00,0.36,-15.54,162.68,4.00,0.00
431.65,11.00,0.19,-14.62,106.22,1.00,0.00
183.38,4.00,0.69,-11.43,172.34,4.00,0.00
324.52,5.00,0.75,-11.27,210.31,4.00,0.56
172.02,1.00,0.04,-9.75,175.39,4.00,0.75
165.67,0.00,0.30,-10.92,128.46,5.00,0.94
377.68,2.00,0.66,-21.79,109.67,5.00,0.82
145.01,5.00,0.38,-14.45,141.02,4.00,1.00
153.29,1.00,0.09,-7.54,125.56,4.00,1.00
215.35,9.00,0.78,-10.92,211.33,3.00,1.00
156.71,11.00,0.39,-21.25,147.64,4.00,0.19
168.38,9.00,0.33,-12.77,98.49,1.00,0.00
150.26,10.00,0.04,-15.57,137.67,7.00,0.42
159.76,0.00,0.60,-9.79,68.28,4.00,0.69
230.27,2.00,1.00,-32.02,0.00,1.00,0.00
465.61,1.00,0.53,-5.53,134.01,4.00,0.11
247.77,5.00,0.45,-8.90,85.16,4.00,0.00
165.98,1.00,0.49,-15.92,86.16,4.00,1.00
368.17,11.00,0.25,-8.49,93.11,4.00,0.00
176.27,3.00,0.00,-13.37,49.26,4.00,0.00
266.42,6.00,0.36,-5.95,80.15,4.00,1.00
111.07,6.00,0.10,-13.83,82.42,4.00,0.38
313.78,7.00,0.24,-11.49,107.20,3.00,1.00
265.38,9.00,0.45,-9.28,124.18,4.00,0.68
167.21,7.00,0.61,-7.93,196.03,4.00,0.87
240.61,0.00,0.31,-14.37,64.40,4.00,0.00
356.41,1.00,0.65,-7.60,130.86,4.00,0.13
260.28,10.00,0.01,-2.94,90.01,4.00,0.68
256.39,9.00,0.59,-8.63,122.17,4.00,0.30
316.50,2.00,0.60,-14.54,95.98,4.00,0.19
252.58,0.00,0.19,-7.61,75.96,5.00,0.87
224.60,8.00,0.72,-13.26,210.87,4.00,1.00
214.13,4.00,0.27,-7.23,105.20,1.00,0.57
259.45,4.00,0.41,-8.42,106.69,1.00,0.61
236.25,0.00,0.01,-5.12,112.79,4.00,0.57
43.36,6.00,0.02,-24.00,93.78,3.00,0.67
236.93,0.00,0.24,-8.04,89.87,4.00,0.88
243.83,5.00,0.13,-10.96,133.34,4.00,0.82
241.48,0.00,1.00,-14.84,98.72,4.00,0.82
183.17,5.00,0.92,-22.29,74.07,1.00,0.89
424.12,8.00,0.47,-10.68,130.01,4.00,0.63
111.62,4.00,0.84,-18.70,104.39,3.00,0.45
138.63,4.00,0.20,-9.67,159.59,1.00,0.03
270.60,2.00,0.69,-10.75,192.70,5.00,0.92
173.19,3.00,0.04,-8.37,98.11,4.00,0.65
218.38,7.00,0.40,-4.37,118.60,4.00,0.66
153.34,2.00,0.57,-15.60,143.60,1.00,0.00
230.71,4.00,0.28,-6.36,81.32,3.00,0.13
407.38,6.00,0.01,-7.88,89.35,5.00,1.00
337.68,4.00,0.41,-5.13,174.99,4.00,0.75
236.17,9.00,0.58,-4.95,129.12,4.00,0.00
511.16,8.00,0.66,-26.36,86.67,3.00,0.56
338.23,8.00,0.26,-15.67,231.87,4.00,0.66
45.66,5.00,0.19,-21.59,190.70,4.00,0.88
207.44,9.00,0.67,-11.26,97.54,4.00,0.73
29.54,6.00,0.21,-11.49,95.23,3.00,0.39
335.52,5.00,0.49,-7.43,139.99,4.00,0.00
197.20,7.00,0.53,-16.11,159.23,1.00,0.04
152.92,1.00,0.69,-9.84,124.75,3.00,0.76
326.01,0.00,0.39,-17.49,100.42,4.00,0.70
305.16,9.00,0.58,-6.30,105.00,4.00,0.67
279.98,7.00,0.48,-6.29,110.22,4.00,1.00
261.51,10.00,0.24,-7.64,88.97,4.00,1.00
149.86,4.00,0.15,-18.34,134.57,4.00,0.92
75.68,11.00,0.15,-22.75,186.88,3.00,0.73
290.56,1.00,0.21,-4.17,114.00,4.00,0.65
363.86,4.00,0.31,-6.98,90.20,1.00,1.00
282.44,10.00,0.53,-14.04,111.03,3.00,0.86
135.31,0.00,0.70,-16.99,124.18,1.00,1.00
221.31,5.00,0.76,-12.00,157.75,1.00,0.00
75.57,6.00,0.02,-7.63,100.03,4.00,1.00
338.10,1.00,0.42,-6.32,185.88,4.00,0.73
298.11,0.00,0.63,-12.81,94.03,5.00,0.33
170.84,4.00,0.44,-9.45,76.01,3.00,0.30
215.38,1.00,0.77,-10.40,133.55,4.00,0.22
213.50,2.00,0.82,-5.54,202.23,4.00,0.08
351.09,7.00,0.69,-7.51,133.41,5.00,0.81
658.02,5.00,0.14,-17.16,116.82,3.00,0.69
474.62,11.00,0.73,-9.79,127.89,4.00,0.40
305.89,5.00,0.28,-4.05,124.87,1.00,0.93
301.92,0.00,0.24,-3.16,136.95,4.00,0.46
135.52,0.00,0.57,-13.78,169.88,4.00,0.18
179.96,7.00,0.93,-10.97,100.62,1.00,0.00
269.77,7.00,0.00,-7.00,101.01,4.00,0.68
166.16,11.00,0.29,-14.01,157.78,4.00,0.48
221.67,2.00,0.40,-2.84,91.48,4.00,0.54
212.95,10.00,0.44,-15.05,99.11,4.00,0.49
261.75,9.00,0.50,-15.01,76.30,3.00,0.51
307.33,7.00,0.72,-8.92,92.67,4.00,0.96
225.67,7.00,0.04,-6.91,116.98,4.00,0.67
296.15,5.00,0.52,-9.37,139.07,4.00,0.02
203.68,6.00,0.12,-5.23,98.98,4.00,1.00
56.42,2.00,0.14,-2.70,123.70,4.00,0.78
230.87,0.00,0.67,-3.33,97.15,4.00,0.82
134.03,2.00,0.05,-8.93,91.46,4.00,0.92
212.61,7.00,0.83,-8.55,116.11,4.00,1.00
188.39,6.00,0.41,-18.40,85.28,3.00,0.94
153.00,9.00,0.64,-7.81,140.87,4.00,0.34
233.04,0.00,0.10,-8.50,144.00,4.00,0.00
149.99,9.00,0.63,-5.17,120.00,4.00,0.55
152.03,8.00,0.12,-10.27,168.56,4.00,0.23
200.49,10.00,0.43,-12.71,146.06,4.00,0.00
193.65,4.00,0.00,-5.80,174.02,4.00,0.03
158.82,2.00,0.49,-22.35,85.69,3.00,0.75
173.69,7.00,0.00,-7.11,92.61,4.00,1.00
269.40,0.00,0.37,-7.47,163.97,4.00,0.80
176.90,2.00,0.35,-18.72,97.62,3.00,0.53
196.73,9.00,0.01,-5.39,183.81,4.00,0.00
281.47,1.00,0.35,-4.58,92.04,3.00,1.00
224.21,9.00,0.63,-5.89,126.81,4.00,0.97
170.32,5.00,0.00,-17.81,108.91,4.00,0.77
361.53,6.00,0.20,-4.23,160.73,4.00,0.00
182.05,7.00,0.14,-7.69,104.31,3.00,1.00
367.44,1.00,0.17,-6.62,203.96,5.00,0.00
175.91,10.00,0.39,-19.26,131.68,4.00,0.60
215.54,0.00,0.81,-2.32,188.92,4.00,0.00
234.71,7.00,0.72,-8.30,126.34,3.00,0.83
340.11,10.00,0.39,-12.75,112.10,4.00,0.11
280.14,0.00,1.00,-13.08,125.15,4.00,0.90
170.53,6.00,0.44,-10.23,87.63,4.00,0.78
212.71,0.00,0.71,-11.26,128.69,4.00,0.43
277.24,11.00,0.15,-3.57,140.03,4.00,0.09
120.92,7.00,0.87,-25.15,147.58,1.00,0.00
492.30,9.00,0.67,-12.09,193.56,4.00,0.36
260.83,11.00,0.16,-8.58,122.01,4.00,0.70
203.96,7.00,0.35,-6.83,190.01,4.00,1.00
309.66,0.00,0.05,-13.48,111.66,4.00,0.54
81.97,2.00,0.01,-6.75,100.76,4.00,0.91
757.99,2.00,0.22,-16.08,163.67,4.00,0.49
196.49,7.00,0.52,-10.32,127.30,4.00,0.00
352.57,9.00,0.12,-13.46,95.63,1.00,0.00
221.83,3.00,0.84,-12.08,160.01,3.00,0.77
11.60,0.00,0.11,-19.46,38.23,4.00,0.00
281.89,0.00,0.42,-6.61,98.15,4.00,0.59
256.10,10.00,0.31,-7.76,91.20,4.00,0.00
345.23,4.00,0.60,-8.83,75.47,5.00,0.72
122.70,2.00,0.28,-7.46,103.29,4.00,0.79
338.36,3.00,0.56,-14.95,65.05,4.00,0.28
256.63,1.00,0.00,-12.10,161.80,4.00,0.00
182.73,6.00,0.73,-15.60,115.26,1.00,1.00
197.17,0.00,0.57,-12.01,230.99,4.00,0.28
291.03,7.00,0.45,-4.51,179.99,3.00,1.00
293.28,2.00,0.24,-5.57,90.01,4.00,0.65
334.78,1.00,0.60,-9.64,95.82,4.00,1.00
215.82,4.00,0.27,-9.56,100.61,4.00,0.70
237.43,7.00,0.15,-4.62,80.41,4.00,0.40
271.54,6.00,0.05,-3.54,150.09,4.00,0.89
207.52,3.00,0.02,-5.79,191.93,4.00,0.38
269.87,5.00,0.10,-8.09,173.94,4.00,0.46
266.74,6.00,0.43,-7.83,117.98,4.00,1.00
312.76,8.00,0.47,-3.32,153.55,4.00,0.34
172.20,6.00,0.27,-4.81,131.08,4.00,0.66
288.37,2.00,0.63,-10.90,132.97,1.00,0.00
191.14,0.00,0.71,-10.86,97.03,3.00,1.00
280.45,7.00,0.97,-9.51,88.14,4.00,0.11
359.73,6.00,0.27,-7.30,133.38,4.00,0.00
180.98,2.00,0.63,-3.64,142.68,4.00,0.59
217.42,1.00,0.33,-7.04,107.19,4.00,1.00
150.20,0.00,0.83,-11.93,101.49,3.00,1.00
204.93,11.00,0.38,-4.94,90.64,4.00,0.00
515.97,8.00,0.33,-13.10,61.49,5.00,0.92
177.58,2.00,0.72,-13.13,152.43,1.00,0.07
257.59,0.00,0.58,-9.22,121.23,4.00,0.47
182.15,5.00,0.86,-20.84,105.27,3.00,0.86
102.03,0.00,0.03,-5.65,95.66,4.00,1.00
251.82,2.00,0.44,-8.65,229.91,3.00,0.49
59.90,1.00,0.71,-27.81,75.13,1.00,0.91
261.90,10.00,0.10,-6.21,106.77,4.00,1.00
365.71,9.00,0.46,-14.98,120.88,5.00,1.00
216.42,7.00,0.34,-10.45,123.66,4.00,0.30
101.15,7.00,0.00,-4.18,144.95,4.00,0.00
222.12,11.00,0.18,-8.47,147.66,4.00,0.18
203.36,2.00,0.40,-14.69,84.22,1.00,0.14
281.76,8.00,0.53,-6.82,172.29,4.00,0.48
200.52,10.00,0.22,-6.61,167.90,4.00,0.92
469.68,7.00,0.44,-14.22,74.05,4.00,0.39
113.61,2.00,0.57,-11.66,100.15,1.00,0.31
136.96,0.00,0.45,-3.81,85.77,4.00,0.69
133.20,10.00,0.03,-23.69,210.90,4.00,0.31
195.37,5.00,0.81,-6.48,140.26,4.00,0.02
202.94,6.00,0.41,-18.86,133.40,1.00,0.00
193.72,4.00,0.49,-9.13,91.54,4.00,1.00
466.65,9.00,0.00,-7.71,114.73,4.00,0.57
388.52,9.00,0.39,-5.68,106.44,1.00,0.51
261.54,1.00,0.83,-6.83,111.94,4.00,0.96
262.56,2.00,0.41,-7.50,93.02,4.00,0.90
205.43,9.00,0.79,-10.23,101.66,4.00,0.62
263.63,5.00,0.76,-7.71,179.50,3.00,0.69
1030.19,0.00,0.59,-18.91,70.65,5.00,0.99
183.43,0.00,0.77,-9.72,85.88,5.00,0.96
217.39,4.00,0.56,-8.94,155.90,4.00,0.00
293.93,5.00,0.08,-9.46,163.57,4.00,0.56
